,lng,lat,count
589,106.5525,26.3938,34
590,106.7794,26.6585,34
591,106.623,26.4036,34
592,106.5071,26.3543,34
593,106.6529,26.6482,34
594,106.6231,26.4032,33
595,106.4819,26.5461,33
596,106.5816,26.3322,33
597,106.6505,26.6819,33
598,106.6745,26.5125,33
599,106.5414,26.3807,33
600,106.5564,26.3911,33
601,106.5402,26.4094,33
602,106.5564,26.3916,33
603,106.6667,26.42,33
604,106.5565,26.3933,33
605,106.6584,26.4138,33
606,106.6476,26.6264,33
607,106.6505,26.6185,33
608,106.5372,26.3817,32
609,106.6544,26.4126,32
610,106.5564,26.3915,32
611,106.6515,26.4189,32
612,106.623,26.3812,32
613,106.6721,26.44,32
614,106.646,26.623,32
615,106.541,26.3801,32
616,106.6195,26.41,32
617,106.6247,26.6884,32
618,106.5413,26.3807,32
619,106.6871,26.3379,32
620,106.5195,26.3949,32
621,106.6085,26.4723,32
622,106.539,26.3796,32
623,106.6784,26.578,32
624,106.5565,26.3927,32
625,106.5402,26.4095,31
626,106.653,26.6504,31
627,106.6874,26.3358,31
628,106.5564,26.3908,31
629,106.6478,26.6264,31
630,106.6162,26.4019,31
631,106.6482,26.6264,31
632,106.6225,26.4038,31
633,106.5378,26.3793,31
634,106.5564,26.3914,31
635,106.655,26.6869,31
636,106.6153,26.3745,31
637,106.6153,26.3744,31
638,106.5925,26.3894,31
639,106.4827,26.5457,31
640,106.5463,26.3925,31
641,106.5378,26.3792,31
642,106.6648,26.5767,30
643,106.6517,26.419,30
644,106.6717,26.4342,30
645,106.6551,26.6869,30
646,106.6658,26.3516,30
647,106.6519,26.4191,30
648,106.5409,26.3802,30
649,106.6472,26.6264,30
650,106.6574,26.507,30
651,106.4799,26.3577,30
652,106.6252,26.6886,30
653,106.7088,26.5074,30
654,106.5468,26.3922,30
655,106.483,26.5548,30
656,106.556,26.3906,30
657,106.5463,26.3926,30
658,106.5564,26.3947,30
659,106.5591,26.3826,30
660,106.6305,26.4783,30
661,106.5386,26.3786,30
662,106.4842,26.547,30
663,106.6306,26.3481,30
664,106.5846,26.4089,30
665,106.5376,26.3794,30
666,106.5564,26.3948,29
667,106.5565,26.3923,29
668,106.5565,26.396,29
669,106.5074,26.3544,29
670,106.7198,26.5904,29
671,106.6225,26.403,29
672,106.6995,26.5647,29
673,106.5043,26.3536,29
674,106.6087,26.3991,29
675,106.5564,26.3951,29
676,106.6538,26.4126,29
677,106.6461,26.6231,29
