wkday,hr,value,road,veh_series,avgTrpODO_km,avgTrpTime_min,avg_maxVhlSpd,avgEngSpd
3,17.5,707,G,HS5,28.32,30.15,53.94,1089
7,16,702,G,HS5,35.03,32.51,57.33,1122
1,1.5,699,O,HS5,5.36,17.32,43.17,960
3,17.5,699,S,HS5,16.77,27.67,54.74,1094
6,16.5,699,G,HS5,110.9,30.48,56.87,1106
2,14.5,698,G,HS5,25.16,30.22,51.38,1077
6,10,691,G,HS5,27.18,25.92,46.17,1043
4,10.5,689,S,HS5,28.74,25.16,55.49,1119
6,9.5,686,G,HS5,30.24,25.49,46.34,1066
2,12,686,S,HS5,44.41,21.34,55.87,1116
3,11.5,683,S,HS5,29.73,21.95,53.64,1107
3,1.5,681,O,HS5,6.22,18.72,42.42,949
3,12,681,G,HS5,29.96,27.84,57.63,1117
3,18,680,G,HS5,23.89,27.19,51.16,1073
2,9.5,678,G,HS5,57.01,25.38,44.72,1041
6,18,675,S,HS5,51.3,24.13,51.62,1079
6,11,675,G,HS5,31.32,26.72,49.56,1057
4,17,675,G,HS5,23.98,28.36,52.41,1085
3,9.5,674,G,HS5,20.83,23.25,43.28,1053
6,11.5,673,S,HS5,20.43,23.37,53.99,1091
3,17,668,S,HS5,15.69,26.78,55.3,1096
5,9.5,667,S,HS5,153.33,27.09,51.96,1099
6,9.5,667,S,HS5,23.21,24.13,47.97,1071
2,10.5,667,G,HS5,25.58,25.52,49.34,1056
6,1.5,666,O,HS5,7.57,17.8,41.23,953
6,10.5,665,G,HS5,26.95,29.41,50.92,1072
3,10,665,G,HS5,21.08,22.95,46.35,1068
2,15.5,664,G,HS5,24.09,31.45,54.18,1093
6,16,663,G,HS5,24.97,30.07,50.76,1057
4,10,662,G,HS5,24.73,23.17,44.62,1048
1,9.5,661,G,HS5,28.86,29.61,50.05,1075
7,9,655,S,HS5,22.79,29.81,49.22,1079
2,1.5,654,O,HS5,13.7,14.56,40.23,967
2,11.5,654,S,HS5,14.35,21.59,51.35,1092
5,9.5,653,G,HS5,21.21,26.04,45.24,1067
6,15.5,653,G,HS5,23.84,30.06,48.48,1066
4,11.5,652,G,HS5,21.57,26.54,52.78,1074
3,2,652,O,HS5,8.08,17.18,40.92,940
