name,value,position,veh_series,avgOStime_min,avgOSmileage_km,vin
0~50%,1,inside,HS5,11.5,21,LFB1E6076KJB13463
0~50%,61,inside,HS5,3.12,5.38,LFB1E6674KJB08740
0~50%,177,inside,HS5,6.81,12.56,LFB1E667XKJB07608
0~50%,10,inside,HS5,1.91,3.8,LFB1E6076KJB07064
0~50%,15,inside,HS5,14.34,24.13,LFB1E6079KJB15899
0~50%,53,inside,HS5,7.61,13.4,LFB1E6075KJB13227
0~50%,228,inside,HS5,6.13,12.31,LFB1E6076KJB05573
0~50%,8,inside,HS5,3.87,6.88,LFB1E6673KJB14903
0~50%,10,inside,HS5,9.67,16.8,LFB1E6078KJB14002
0~50%,50,inside,HS5,8.13,15.08,LFB1E6075KJB03846
0~50%,16,inside,HS5,10.76,19.06,LFB1E667XKJB14669
0~50%,1,inside,HS5,0.33,1,LFB1E6673KJB15565
50%+,2,inside,HS5,5.26,10,LFB1E6671KJB06458
0~50%,2,inside,HS5,22.67,41.5,LFB1E6677KJB11180
0~50%,9,inside,HS5,3.26,5.22,LFB1E6078KJB13173
0~50%,33,inside,HS5,5.4,9.7,LFB1E6672KJB07439
50%+,1,inside,HS5,44.5,83,LFB1E6679KJB06661
50%+,3,inside,HS5,16.24,38,LFB1E6073KJB11606
0~50%,43,inside,HS5,4.92,8.67,LFB1E6075KJB12823
50%+,3,inside,HS5,51.33,108.33,LFB1E6671KJB15435
0~50%,9,inside,HS5,1.67,2.89,LFB1E6077KJB03556
0~50%,38,inside,HS5,9.79,17.55,LFB1E6075KJB07086
50%+,1,inside,HS5,9.67,19,LFB1E6073KJB04378
50%+,1,inside,HS5,21,38,LFB1E6670KJB07309
0~50%,15,inside,HS5,17.58,32.6,LFB1E6075KJB05595
0~50%,1,inside,HS5,3.33,7,LFB1E6074KJB13249
0~50%,4,inside,HS5,2.45,4.75,LFB1E6674KJB13548
0~50%,51,inside,HS5,4.05,8.71,LFB1E6674KJB07149
0~50%,41,inside,HS5,3.16,5.51,LFB1E6676KJB10540
0~50%,57,inside,HS5,6.58,11.68,LFB1E6078KJB06370
0~50%,2,inside,HS5,24.58,45.5,LFB1E6075KJB15401
0~50%,1,inside,HS5,0.17,1,LFB1E6075KJB13910
50%+,1,inside,HS5,23.85,45,LFB1E6079KJB09505
50%+,1,inside,HS5,23.5,42,LFB1E6074KJB07192
0~50%,114,inside,HS5,10.55,20.12,LFB1E6672KJB09188
0~50%,1,inside,HS5,0.17,0,LFB1E6670KJB16964
0~50%,134,inside,HS5,6.11,10.96,LFB1E6672KJB07697
50%+,1,inside,HS5,12.83,23,LFB1E6672KJB07019
0~50%,80,inside,HS5,1.63,2.86,LFB1E6075KJB08173
50%+,2,inside,HS5,21.75,41,LFB1E6673KJB05764
0~50%,1,inside,HS5,0.18,0,LFB1E6672KJB17503
0~50%,19,inside,HS5,3.72,7.58,LFB1E6075KJB06682
50%+,1,inside,HS5,19.17,34,LFB1E6674KJB04011
0~50%,109,inside,HS5,5.83,12.47,LFB1E6675KJB03076
0~50%,59,inside,HS5,11.27,20.44,LFB1E6674KJB08236
0~50%,1,inside,HS5,1.5,3,LFB1E6672KJB09613
0~50%,5,inside,HS5,3.17,6.8,LFB1E6674KJB06745
0~50%,35,inside,HS5,3.55,6.11,LFB1E6077KJB07221
0~50%,9,inside,HS5,2.16,3.56,LFB1E6071KJB11071
50%+,9,inside,HS5,17.71,33.44,LFB1E6077KJB10197
0~50%,9,inside,HS5,16.06,28.44,LFB1E6675KJB12053
0~50%,11,inside,HS5,10.12,20.64,LFB1E6077KJB06392
0~50%,19,inside,HS5,18.05,32.05,LFB1E6674KJB09323
50%+,1,inside,HS5,42.5,87,LFB1E6074KJB11338
0~50%,5,inside,HS5,2.27,4.2,LFB1E6675KJB10562
50%+,1,inside,HS5,45.83,86,LFB1E6679KJB06157
0~50%,80,inside,HS5,3.43,5.99,LFB1E6074KJB07533
