veh_series,road,HiBeam,LowBeam,top,vin
HS5,G,13.11,30.54,43.65,LFB1E6677KJB09218
HS5,G,1.5,55.84,57.34,LFB1E667XKJB14137
HS5,G,0,82.29,82.29,LFB1E6070KJB09845
HS5,G,54.29,85.62,139.91,LFB1E607XKJB12722
HS5,G,47.33,80.82,128.15,LFB1E6670KJB13210
HS5,G,19.04,87.27,106.31,LFB1E6677KJB10160
HS5,G,0,3.33,3.33,LFB1E6679KJB13884
HS5,G,8.71,33.52,42.23,LFB1E6079KJB02568
HS5,G,0,0,0,LFB1E6675KJB16488
HS5,G,0,100,100,LFB1E607XKJB13675
HS5,G,0,50,50,LFB1E6671KJB03818
HS5,G,0,100,100,LFB1E607XKJB15636
HS5,G,0,9.68,9.68,LFB1E6674KJB13520
HS5,G,16.05,76.39,92.44,LFB1E6676KJB08156
HS5,G,0,0,0,LFB1E6670KJB16124
HS5,G,0,50,50,LFB1E6077KJB13620
HS5,G,2.08,66.32,68.4,LFB1E6674KJB16434
HS5,G,29.39,73.5,102.89,LFB1E6077KJB14573
HS5,G,15.88,65.37,81.25,LFB1E6675KJB06141
HS5,G,0.05,88.91,88.96,LFB1E6675KJB08102
HS5,G,5,35.87,40.87,LFB1E6675KJB09055
HS5,G,4.32,24.71,29.03,LFB1E6075KJB07640
HS5,G,2.4,88.98,91.38,LFB1E607XKJB06242
HS5,G,53.75,57.03,110.78,LFB1E6671KJB10588
HS5,G,0,0,0,LFB1E6079KJB11299
HS5,G,0.86,30.73,31.59,LFB1E6678KJB10507
HS5,G,13.07,91.84,104.91,LFB1E607XKJB07195
HS5,G,33.14,71.04,104.18,LFB1E6079KJB07950
HS5,G,35,60,95,LFB1E6075KJB08593
HS5,G,0,83.33,83.33,LFB1E6072KJB17123
HS5,G,100,100,200,LFB1E607XKJB09156
HS5,G,20.5,57.48,77.98,LFB1E6674KJB07040
HS5,G,0,63.64,63.64,LFB1E6675KJB10898
HS5,G,15.49,60.05,75.54,LFB1E6672KJB04217
HS5,G,0,0,0,LFB1E6076KJB17433
HS5,G,33.65,41.16,74.81,LFB1E6670KJB10534
HS5,G,27.99,83.87,111.86,LFB1E6077KJB09101
HS5,G,0,0,0,LFB1E607XKJB10999
HS5,G,62.38,86.73,149.11,LFB1E6673KJB10088
HS5,G,0.07,49.5,49.57,LFB1E6074KJB09492
HS5,G,0,40.89,40.89,LFB1E6677KJB10398
HS5,G,0.2,43.14,43.34,LFB1E6072KJB06669
HS5,G,15.85,71.7,87.55,LFB1E6077KJB12905
HS5,G,100,100,200,LFB1E6070KJB12986
HS5,G,11.57,38.02,49.59,LFB1E6673KJB09653
HS5,G,2.27,48.68,50.95,LFB1E6672KJB10034
HS5,G,100,100,200,LFB1E6070KJB14947
HS5,G,14.48,78.6,93.08,LFB1E6077KJB11897
HS5,G,0,75.76,75.76,LFB1E6076KJB06979
HS5,G,65.56,100,165.56,LFB1E6071KJB04654
HS5,G,26.86,87.54,114.4,LFB1E6676KJB10344
HS5,G,10.75,32.87,43.62,LFB1E6071KJB06615
HS5,G,0,66.67,66.67,LFB1E6678KJB16842
HS5,G,21.02,33.33,54.35,LFB1E6675KJB06379
HS5,G,7.84,78.63,86.47,LFB1E6672KJB08591
HS5,G,39.79,48.82,88.61,LFB1E6674KJB03411
HS5,G,0,0,0,LFB1E607XKJB05527
HS5,G,30.96,62.74,93.7,LFB1E6075KJB06925
HS5,G,0.15,50.24,50.39,LFB1E6076KJB13804
HS5,G,24.81,70.96,95.77,LFB1E6071KJB09529
HS5,G,10,91.94,101.94,LFB1E6078KJB17580
HS5,G,0,47.61,47.61,LFB1E6675KJB11243
HS5,G,1.91,31.6,33.51,LFB1E6070KJB07514
HS5,G,0,40,40,LFB1E6074KJB05863
HS5,G,3.95,44.12,48.07,LFB1E6072KJB04100
HS5,G,0,22.22,22.22,LFB1E6675KJB14157
HS5,G,47.13,88.2,135.33,LFB1E6679KJB13514
HS5,G,0,0,0,LFB1E6071KJB15346
HS5,G,72,77.59,149.59,LFB1E607XKJB13305
HS5,G,0,57.25,57.25,LFB1E6077KJB07378
HS5,G,0,0,0,LFB1E6071KJB17307
HS5,G,2.93,61.71,64.64,LFB1E6072KJB05053
HS5,G,16.67,66.67,83.34,LFB1E6077KJB09339
HS5,G,10.81,60.92,71.73,LFB1E6075KJB13695
HS5,G,0,100,100,LFB1E6674KJB10181
HS5,G,0,19.44,19.44,LFB1E6070KJB11370
HS5,G,0,25.8,25.8,LFB1E6072KJB07014
HS5,G,0.93,30.9,31.83,LFB1E6073KJB11119
HS5,G,0,0,0,LFB1E6071KJB16299
HS5,G,72.73,86.84,159.57,LFB1E6077KJB10281
HS5,G,0,7.78,7.78,LFB1E6076KJB05363
HS5,G,0,83.23,83.23,LFB1E6674KJB14103
HS5,G,0,79.17,79.17,LFB1E6675KJB00789
HS5,G,0,72.73,72.73,LFB1E6077KJB13195
HS5,G,0,0,0,LFB1E6076KJB08277
HS5,G,0,0,0,LFB1E6674KJB17017
HS5,G,0,0,0,LFB1E6070KJB16245
HS5,G,7.39,77.29,84.68,LFB1E6078KJB13951
HS5,G,11.76,76.59,88.35,LFB1E6674KJB00735
HS5,G,32.09,60.73,92.82,LFB1E6673KJB12794
HS5,G,0,0.95,0.95,LFB1E6673KJB14755
HS5,G,18.46,84.05,102.51,LFB1E6671KJB05861
HS5,G,0,49.63,49.63,LFB1E6070KJB04838
HS5,G,0.08,50,50.08,LFB1E6075KJB09176
HS5,G,0,66.77,66.77,LFB1E6077KJB03749
HS5,G,0,0,0,LFB1E6673KJB17669
HS5,G,0.81,94.24,95.05,LFB1E6671KJB07822
HS5,G,0.63,43.49,44.12,LFB1E6671KJB08775
HS5,G,0.23,100,100.23,LFB1E667XKJB06734
HS5,G,0,0,0,LFB1E6672KJB15654
HS5,G,36.74,85.8,122.54,LFB1E6678KJB09647
HS5,G,18.07,69.96,88.03,LFB1E6072KJB04338
HS5,G,45.26,68.6,113.86,LFB1E6078KJB07471
HS5,G,36.14,80.6,116.74,LFB1E6078KJB09432
HS5,G,29.7,98,127.7,LFB1E667XKJB10590
HS5,G,0,50,50,LFB1E6673KJB08275
HS5,G,0,61.9,61.9,LFB1E6677KJB07632
HS5,G,34.2,66.08,100.28,LFB1E6671KJB15600
HS5,G,0,80.37,80.37,LFB1E6678KJB12550
HS5,G,0,0,0,LFB1E667XKJB12551
HS5,G,0,65,65,LFB1E6079KJB17264
HS5,G,22.64,78.23,100.87,LFB1E6675KJB15910
HS5,G,0,0,0,LFB1E6674KJB09984
HS5,G,0,85,85,LFB1E6678KJB15464
HS5,G,46.67,78.76,125.43,LFB1E6675KJB06009
HS5,G,45.56,90.72,136.28,LFB1E6679KJB04358
HS5,G,0,0,0,LFB1E6675KJB16863
HS5,G,0,50,50,LFB1E6073KJB10911
HS5,G,64.45,72.92,137.37,LFB1E6672KJB08221
HS5,G,0,100,100,LFB1E6673KJB15100
HS5,G,0,82.81,82.81,LFB1E6076KJB10465
HS5,G,56.17,65.88,122.05,LFB1E607XKJB04149
HS5,G,0,93.25,93.25,LFB1E6079KJB04904
HS5,G,33.33,100,133.33,LFB1E6676KJB08531
HS5,G,0,83.59,83.59,LFB1E6073KJB13825
HS5,G,16.89,54.34,71.23,LFB1E6673KJB01732
HS5,G,10.8,64.14,74.94,LFB1E6070KJB06136
HS5,G,62.98,90.26,153.24,LFB1E6679KJB10175
HS5,G,0.18,63.81,63.99,LFB1E6678KJB06070
HS5,G,0.02,59.45,59.47,LFB1E6671KJB09120
HS5,G,37.43,57.36,94.79,LFB1E6070KJB07089
HS5,G,0.56,58.06,58.62,LFB1E6678KJB08031
HS5,G,4.85,59.42,64.27,LFB1E6672KJB14939
